,Annualized Return,Annualized Volatility,Sharpe (rf=0)
Ethereum_Price,1.0032851649178145,0.8665389319992763,1.1578073735279701
Bitcoin_Price,0.7475348161700509,0.6786438694535977,1.10151266344146
Nvidia_Price,0.714348536181819,0.5125746268864269,1.3936478684499927
Tesla_Price,0.6535158619772711,0.6447112788107041,1.0136566296510412
Apple_Price,0.3486356551298272,0.3182264179912173,1.095558493636594
Microsoft_Price,0.3216827848151859,0.3032577746950342,1.0607569258156053
Meta_Price,0.3098044386634495,0.44529416827337237,0.6957298359974392
Google_Price,0.23699496783731805,0.32066371889859446,0.7390763403210716
Nasdaq_100_Price,0.22201890643722536,0.2573570075231682,0.8626884053943564
Amazon_Price,0.21295294851822716,0.35245794098267413,0.6041939299892106
Netflix_Price,0.20672932185031723,0.46178914440771657,0.4476703802023432
Natural_Gas_Price,0.16972336345359,0.6628547296084771,0.2560491098160212
Berkshire_Price,0.1515895385399224,0.212007760481076,0.7150188191033385
S&P_500_Price,0.1443417614377239,0.21319980725640494,0.6770257595220579
Silver_Price,0.126267126952853,0.32501498732386597,0.3884963213312753
Gold_Price,0.10266539910859021,0.16035908225097817,0.640221917383566
Copper_Price,0.08892487040765609,0.22639685493672584,0.3927831525420665
Platinum_Price,0.06897823055376916,0.3170393743442633,0.21756991760546376
Crude_oil_Price,-0.551669254333008,1.5889371312157048,-0.3471938841978743
